,postcode,house_is,rooms_number,area,equipped_kitchen_has,open_fire,terrace,terrace_area,garden_area,facades_number
115,1000,False,2.0,90.0,True,False,True,15.0,0.0,2.0
116,1000,False,1.0,75.0,True,False,True,5.0,0.0,2.0
117,1000,False,2.0,100.0,True,False,True,14.0,0.0,2.0
118,1000,False,1.0,75.0,True,False,True,5.0,0.0,2.0
119,1000,False,2.0,106.0,True,False,True,11.0,0.0,2.0
120,1000,False,2.0,92.0,True,False,True,22.0,0.0,2.0
121,1000,False,2.0,100.0,True,False,True,14.0,0.0,2.0
122,1000,False,2.0,95.0,True,False,True,7.0,0.0,2.0
123,1000,False,2.0,92.0,True,False,True,13.0,0.0,2.0
124,1000,False,1.0,75.0,True,False,True,5.0,0.0,2.0
125,1000,False,2.0,95.0,True,False,True,7.0,0.0,2.0
126,1000,False,2.0,92.0,True,False,True,13.0,0.0,2.0
127,1000,False,2.0,95.0,True,False,True,7.0,0.0,2.0
128,1000,False,2.0,100.0,True,False,True,14.0,0.0,2.0
129,1000,False,2.0,95.0,True,False,True,7.0,0.0,2.0
130,1000,False,2.0,104.0,True,False,True,11.0,0.0,2.0
131,1000,False,2.0,100.0,True,False,True,14.0,0.0,2.0
132,1000,False,2.0,106.0,True,False,True,11.0,0.0,2.0
133,1000,False,2.0,75.0,True,False,True,2.0,0.0,2.0
134,1000,False,2.0,100.0,True,False,True,14.0,0.0,2.0
135,1000,False,2.0,106.0,True,False,True,11.0,0.0,2.0
136,1000,False,2.0,97.0,True,False,True,7.0,0.0,2.0
137,1000,False,2.0,97.0,True,False,True,7.0,0.0,2.0
138,1000,False,3.0,143.0,True,False,True,10.0,0.0,2.0
139,1000,False,2.0,148.0,True,False,True,2.0,0.0,3.0
140,1000,False,2.0,70.0,True,False,False,0.0,0.0,2.0
141,1000,False,2.0,120.0,True,False,True,3.0,0.0,2.0
142,1000,False,2.0,100.0,True,False,False,0.0,0.0,2.0
143,1000,False,3.0,230.0,True,False,True,24.0,0.0,2.0
144,1000,False,3.0,146.0,True,False,True,12.0,0.0,2.0
145,1000,False,3.0,126.0,True,False,True,14.0,0.0,2.0
146,1000,False,2.0,155.0,True,False,False,0.0,0.0,2.0
147,1000,False,3.0,150.0,True,False,False,0.0,0.0,2.0
148,1000,False,0.0,30.0,True,False,False,0.0,0.0,2.0
149,1000,False,4.0,220.0,True,False,False,0.0,0.0,2.0
150,1000,False,3.0,190.0,True,True,True,10.0,0.0,3.0
151,1000,False,1.0,101.0,False,False,True,12.0,0.0,2.0
152,1000,False,4.0,375.0,True,False,False,0.0,0.0,0.0
153,1000,False,1.0,55.0,True,False,True,3.0,0.0,2.0
154,1000,False,2.0,90.0,True,False,False,0.0,0.0,2.0
155,1000,False,2.0,190.0,True,False,False,0.0,0.0,2.0
156,1000,False,1.0,72.0,True,False,True,15.0,0.0,0.0
157,1000,False,2.0,112.0,True,False,True,5.0,0.0,2.0
158,1000,False,2.0,185.0,True,False,True,0.0,0.0,2.0
159,1000,False,3.0,175.0,True,False,True,0.0,0.0,2.0
160,1000,False,2.0,120.0,True,False,True,51.0,0.0,2.0
161,1000,False,3.0,103.0,True,False,False,0.0,0.0,3.0
162,1000,False,3.0,210.0,True,True,False,0.0,0.0,2.0
163,1000,False,3.0,200.0,True,False,True,0.0,0.0,0.0
164,1000,False,0.0,42.0,True,False,False,0.0,0.0,2.0
165,1000,False,1.0,72.0,True,False,True,10.0,0.0,2.0
166,1000,False,1.0,77.0,True,False,True,16.0,0.0,0.0
167,1000,False,2.0,105.0,True,False,True,8.0,0.0,2.0
168,1000,False,2.0,156.0,True,False,True,18.0,0.0,2.0
169,1000,False,2.0,100.0,True,False,True,10.0,0.0,2.0
170,1000,False,2.0,100.0,True,False,True,10.0,0.0,2.0
171,1000,False,1.0,67.0,True,False,True,0.0,0.0,2.0
